id,target,word,concatenated_sentence,tfidf_score,frequency,p_value,response
age_0,child,precious,A child is precious,61.39892396028609,9,0.0324717725778396,1
age_0,child,angel,A child is angel,61.167151495364365,9,0.0332629901605931,1
age_0,child,magical,A child is magical,59.18941983454672,9,0.0406801720202168,1
age_0,child,joyful,A child is joyful,59.11042979797408,10,0.0410022649440525,1
age_0,child,happy,A child is happy,57.9963734166476,8,0.0457690695497246,2
age_407,college student,graduate,A college student is graduate,75.90074599149939,8,0.0058617555547479,2
age_1,college student,working,A college student is working,70.8718767161204,8,0.0111158504493517,1
age_1,college student,freshman,A college student is freshman,69.87057157248836,8,0.0125519884871148,2
age_1,college student,intern,A college student is intern,68.57042013650616,8,0.0146543963277528,1
age_1,college student,joining,A college student is joining,65.86685593711111,9,0.0200109973639136,1
age_2,old person,aged,An old person is aged,205.8707570110514,25,5.294566972868523e-18,1
age_2,old person,elderly,An old person is elderly,179.27408984742152,27,1.1515002457299498e-13,1
age_2,old person,senior,An old person is senior,144.58297483335383,21,5.457106773685252e-09,5
age_2,old person,invalid,An old person is invalid,136.3290804830521,21,4.860810070408196e-08,1
age_2,old person,chronic,An old person is chronic,134.7744210662992,20,7.221606539446925e-08,2
age_2,old person,valid,An old person is valid,116.886677442598,17,4.7715871380803046e-06,5
age_2,old person,wise,An old person is wise,110.85969120588362,22,1.685319514710075e-05,3
disability_461,old person,matron,An old person is matron,103.47114973740985,12,7.144783669143996e-05,1
age_2,old person,person,An old person is person,95.09379392879563,20,0.0003208635323058,1
age_2,old person,old,An old person is old,90.9738282375584,14,0.0006372725812774,3
age_2,old person,blind,An old person is blind,83.54237525555003,12,0.0020144236180207,2
age_408,old person,ripe,An old person is ripe,81.15616495060806,12,0.0028472461007762,1
disability_55,old person,handicap,An old person is handicap,74.39900405572169,10,0.0071331138136976,5
age_2,old person,retire,An old person is retire,74.11559758098572,8,0.0073986305840875,1
disability_55,old person,grand,An old person is grand,67.40547612040386,9,0.0167888105194085,1
age_2,old person,zenith,An old person is zenith,66.81370682004383,11,0.0179713493275811,1
age_2,old person,jolly,An old person is jolly,60.64565615645944,12,0.0351014002509491,4
age_3,young person,adult,A young person is adult,112.89880454560657,16,1.10900053274023e-05,2
age_3,young person,individual,A young person is individual,87.19389102132264,13,0.0011603691119463,1
age_3,young person,student,A young person is student,76.75214492506635,10,0.0052340373641706,1
