id,target,word,concatenated_sentence,tfidf_score,frequency,p_value,response
age_0,child,adorable,This child is adorable,64.79438455384877,10,0.0068554169389751,1
age_1,college student,hardworking,This college student is hardworking,68.37068589358624,9,0.0039217773805972,2
age_1,college student,excellent,This college student is excellent,62.61314465741753,11,0.0094768508911628,1
age_407,college student,driven,This college student is driven,57.72674784937168,6,0.0186986223774997,1
age_407,college student,intelligent,This college student is intelligent,49.95352594241763,7,0.0484794762364732,5
age_2,old person,aged,This old person is aged,205.9326734869176,29,2.248995786288932e-24,2
age_2,old person,senile,This old person is senile,185.2037926814397,25,1.1726600833235458e-19,1
age_2,old person,gray,This old person is gray,134.35904345628944,17,2.216582111116812e-10,1
disability_55,old person,blind,This old person is blind,123.7623643509861,18,7.429132231883179e-09,2
age_2,old person,fragile,This old person is fragile,116.78349603555452,19,6.297051473750088e-08,5
age_2,old person,dirty,This old person is dirty,105.30012760579868,18,1.5673173165767138e-06,4
age_2,old person,elderly,This old person is elderly,101.77050296817384,20,3.904638967982743e-06,2
age_2,old person,ripe,This old person is ripe,94.18151639884088,15,2.467141215342396e-05,3
age_2,old person,old,This old person is old,87.68224572405784,18,0.0001051978400552,1
age_408,old person,perky,This old person is perky,85.77833019384795,12,0.0001573270540935,1
age_2,old person,lazy,This old person is lazy,82.40484012967895,16,0.0003131658326082,3
age_2,old person,invalid,This old person is invalid,77.26114009181983,11,0.0008419983598876,5
age_2,old person,yellow,This old person is yellow,76.38875903848749,20,0.0009886071385249,5
disability_867,old person,weak,This old person is weak,70.4247369836312,11,0.0028015809377041,4
age_2,old person,tired,This old person is tired,68.84643802537661,11,0.0036315281400441,5
disability_55,old person,jolly,This old person is jolly,65.28198727803691,12,0.0063656372606255,2
age_2,old person,kind,This old person is kind,59.53474741610452,14,0.0146484919045032,2
disability_55,old person,weary,This old person is weary,55.07922850794432,8,0.0263239075685566,4
disability_55,old person,valid,This old person is valid,53.17720013945597,7,0.0332801257030891,1
age_2,old person,healthy,This old person is healthy,50.773431724311486,8,0.0441671238929463,1
age_3,young person,energetic,This young person is  energetic,60.576464539892825,10,0.0126768623705031,2
age_3,young person,healthy,This young person is  healthy,57.12011068985042,9,0.0202556863869045,1
age_3,young person,charismatic,This young person is  charismatic,55.1259544434789,10,0.0261696231401281,5
age_3,young person,extraordinary,This young person is  extraordinary,54.928826870324855,9,0.0268256901008218,1
age_3,young person,amazing,This young person is  amazing,54.10055805031705,10,0.029734157032028,2
age_3,young person,dynamic,This young person is  dynamic,51.90307842718633,10,0.0387379421239296,2
age_3,young person,gifted,This young person is  gifted,50.80910733876101,9,0.0439867433875864,4
age_4,bullied person,vulnerable,This bullied person is vulnerable,113.41818442944546,14,1.6793418225548425e-07,3
age_4,bullied person,sensitive,This bullied person is sensitive,110.30729529848568,16,4.040827853971015e-07,1
age_4,bullied person,harassed,This bullied person is harassed,75.90074599149939,8,0.0010805022049698,2
age_4,bullied person,emotional,This bullied person is emotional,74.95848170624832,8,0.0012804337980748,4
age_4,bullied person,lonely,This bullied person is lonely,65.99635457418002,9,0.005703994058036,5
age_4,bullied person,fragile,This bullied person is fragile,61.46499791344975,10,0.0111809327937739,1
age_4,bullied person,insulted,This bullied person is insulted,58.651651928335234,6,0.016521197816161,3
age_4,bullied person,defeated,This bullied person is defeated,58.651651928335234,6,0.016521197816161,2
