id,target,word,concatenated_sentence,tfidf_score,frequency,p_value,response
age_0,child,playing,This child is playing,83.15796693394265,20,0.0001019200172187,2
age_0,child,climbing,This child is climbing,66.54379904881209,10,0.0028695458157348,5
age_0,child,making,This child is making,52.51676789094925,10,0.0250756579383003,1
age_0,child,obeying,This child is obeying,51.885043405062376,8,0.0272728527958751,1
age_0,child,helping,This child is helping,47.27558352388418,10,0.0486198018459055,3
age_1,college student,studying,This college student is studying,120.52486559436392,17,2.383821419593317e-09,4
age_1,college student,quizzing,This college student is quizzing,58.14462151791627,10,0.0112709714076227,1
age_1,college student,reading,This college student is reading,56.671374370347685,10,0.0140208464198419,1
age_1,college student,learning,This college student is learning,48.9392044476712,11,0.0397409311326392,1
age_2,old person,aging,This old person is aging,117.06603970215782,20,7.705777576083897e-09,1
age_2,old person,walking,This old person is walking,113.1748183426992,23,2.75559201066018e-08,1
disability_55,old person,nodding,This old person is nodding,104.85296285396156,14,3.576016356344643e-07,2
age_2,old person,knitting,This old person is knitting,104.51760730975674,19,3.946887218723962e-07,2
age_2,old person,dying,This old person is dying,99.90705188483524,14,1.4782338862402177e-06,4
age_2,old person,singing,This old person is singing,94.72804963685384,21,6.013479448109426e-06,1
age_2,old person,existing,This old person is existing,88.62154901571468,19,2.8218135625817367e-05,4
age_2,old person,ignoring,This old person is ignoring,82.78591900168735,20,0.0001108584817661,1
age_2,old person,moving,This old person is moving,80.0407767437199,19,0.0002034136342365,2
age_2,old person,jogging,This old person is jogging,76.73719990742077,20,0.0004094269665444,2
disability_55,old person,bing,This old person is bing,66.82061018859524,15,0.0027331596666572,1
age_2,old person,yelling,This old person is yelling,65.87396384225548,20,0.0032253120168147,3
age_2,old person,playing,This old person is playing,58.21057685375986,14,0.0111596764380389,2
disability_55,old person,sitting,This old person is sitting,57.1855534625653,8,0.0130016772877242,1
age_2,old person,typing,This old person is typing,54.31438690897793,11,0.0196199253251802,1
age_2,old person,using,This old person is using,52.38486180239977,13,0.0255217571863553,3
disability_55,old person,crying,This old person is crying,50.56260558134504,7,0.0323945527449118,1
age_2,old person,visiting,This old person is visiting,48.71857932230204,11,0.0408365302660045,2
age_3,young person,developing,This young person is  developing,75.13343069174154,9,0.0005680479621319,1
age_4,bullied person,suffering,This bullied person is suffering,135.92700332303193,20,8.055287449971628e-12,1
age_410,bullied person,whispering,This bullied person is whispering,69.84335070762246,9,0.0015818395122437,1
age_4,bullied person,glowering,This bullied person is glowering,58.71248706328212,9,0.0103436051193793,1
age_5,cougar,crawling,This cougar is crawling,65.43154269770983,10,0.0034815661175423,4
age_5,cougar,gliding,This cougar is gliding,62.58767093216056,10,0.0056116653245751,1
age_5,cougar,running,This cougar is running,49.51561299873599,12,0.0369909918256695,4
age_817,cougar,dashing,This cougar is dashing,47.39870971514363,7,0.0479124821943807,3
age_6,daughter,playing,This daughter is playing,128.89484874761112,31,1.1895547836872016e-10,3
age_6,daughter,kissing,This daughter is kissing,91.757790310969,20,1.2943602173973642e-05,1
age_6,daughter,joining,This daughter is joining,81.06467755063977,19,0.0001626463982362,3
