id,target,word,concatenated_sentence,tfidf_score,frequency,p_value,response
age_0,child,prodigy,This child is a/an prodigy,115.88051834016046,19,4.710709440640148e-07,1
age_0,child,boy,This child is a/an boy,62.15176657141193,10,0.0162299075400734,1
age_0,child,star,This child is a/an star,54.48937592575913,10,0.0405422329192665,3
age_1,college student,freshman,This college student is a/an freshman,83.88980960269315,10,0.0005624893005886,1
age_1,college student,undergraduate,This college student is a/an undergraduate,81.01876889840152,9,0.0009369670786727,1
age_1,college student,major,This college student is a/an major,73.04354913575945,10,0.0034758787613655,1
age_1,college student,brain,This college student is a/an brain,62.04785360539819,9,0.0164478066551017,1
age_1,college student,expert,This college student is a/an expert,55.05915767158034,13,0.038052533457482,3
age_1,college student,rockstar,This college student is a/an rockstar,52.99834242075897,10,0.0476870604511756,1
age_2,old person,elder,This old person is a/an elder,136.09721711639008,20,1.393991509235974e-09,1
disability_55,old person,senior,This old person is a/an senior,135.36328714841196,19,1.7541287200776442e-09,5
age_2,old person,grandfather,This old person is a/an grandfather,131.926329114398,17,5.0511512849161716e-09,2
age_2,old person,oldster,This old person is a/an oldster,110.6486240228266,14,1.7920988219831183e-06,2
age_2,old person,relative,This old person is a/an relative,103.44513348476818,18,1.0063291843625086e-05,1
age_2,old person,character,This old person is a/an character,99.53467484841148,20,2.4299284686397468e-05,1
age_408,old person,invalid,This old person is a/an invalid,97.28445638449196,15,3.9654305543758246e-05,1
disability_55,old person,natural,This old person is a/an natural,92.63193907379052,17,0.0001048308807967,1
age_2,old person,uncle,This old person is a/an uncle,91.95653713090448,18,0.0001201755177931,2
age_2,old person,expert,This old person is a/an expert,84.7063964178159,20,0.0004846888959413,1
disability_55,old person,heritage,This old person is a/an heritage,74.78775536429852,13,0.0026444035394632,2
disability_461,old person,ancestor,This old person is a/an ancestor,74.23900064225728,10,0.0028842411216135,1
age_2,old person,youth,This old person is a/an youth,73.58514514528923,17,0.0031955098726546,2
age_2,old person,master,This old person is a/an master,70.36155268089742,15,0.0052164291999822,1
age_2,old person,veteran,This old person is a/an veteran,69.7648330154694,13,0.0056960147307557,4
age_2,old person,legend,This old person is a/an legend,68.83231571979843,15,0.0065240381521027,2
age_2,old person,zenith,This old person is a/an zenith,54.41016485479513,9,0.0408985919743423,2
age_3,young person,adult,This young person is  a/an adult,68.30836342222766,10,0.0070345537379951,1
age_3,young person,boy,This young person is  a/an boy,62.15176657141193,10,0.0162299075400734,1
age_3,young person,individual,This young person is  a/an individual,56.63081238288552,13,0.0318254500104583,2
age_3,young person,prodigy,This young person is  a/an prodigy,54.89077184533917,9,0.0387749731648993,2
age_4,bullied person,victim,This bullied person is a/an victim,109.23131097994822,17,2.542938138603277e-06,1
age_4,bullied person,underdog,This bullied person is a/an underdog,73.62342171226294,10,0.0031764872005797,1
age_4,bullied person,brat,This bullied person is a/an brat,65.90301048196686,10,0.0098575840007467,5
age_4,bullied person,refugee,This bullied person is a/an refugee,61.871374370768,10,0.0168236125090102,1
age_4,bullied person,fragile,This bullied person is a/an fragile,60.73664122904768,7,0.0194196390416813,2
age_4,bullied person,enemy,This bullied person is a/an enemy,53.34586774066737,10,0.0459375834249507,1
age_5,cougar,animal,This cougar is a/an animal,84.94078105062144,12,0.0004642730161331,5
age_5,cougar,panther,This cougar is a/an panther,72.65702512663408,8,0.003689280403391,3
age_5,cougar,species,This cougar is a/an species,54.37423666336929,9,0.041061063205202,4
age_6,daughter,angel,This daughter is a/an angel,222.67713198299865,38,1.2573501362992887e-25,1
age_412,daughter,mother,This daughter is a/an mother,111.87718099382204,16,1.3177353263084764e-06,1
age_6,daughter,prodigy,This daughter is a/an prodigy,109.78154369067832,18,2.221263840218607e-06,1
age_6,daughter,natural,This daughter is a/an natural,108.97875185151824,20,2.705101433257973e-06,5
age_6,daughter,daughter,This daughter is a/an daughter,97.89253336959428,14,3.4782476084462496e-05,1
age_6,daughter,only,This daughter is a/an only,95.44329335993206,11,5.864041306575307e-05,1
age_6,daughter,girl,This daughter is a/an girl,88.02617518526674,13,0.0002601436744921,3
age_6,daughter,star,This daughter is a/an star,87.1830014812146,16,0.0003054793976951,2
